case_id,left_run_id,right_run_id,left_method,right_method,left_tree_inference,right_tree_inference,partition_ari
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_average,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,average,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_centroid,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,centroid,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,median,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,neighbor_joining,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,single,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_complete,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,complete,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_average,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,average,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_centroid,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,centroid,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,median,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_ward,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,neighbor_joining,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,single,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_complete,family_metric_tree_linkage_method_average,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,complete,average,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_complete,family_metric_tree_linkage_method_centroid,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,complete,centroid,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_complete,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,complete,median,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_complete,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,complete,neighbor_joining,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_complete,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,complete,single,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_average,family_metric_tree_linkage_method_centroid,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,average,centroid,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_average,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,average,median,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_average,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,average,neighbor_joining,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_average,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,average,single,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_centroid,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,centroid,median,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_centroid,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,centroid,neighbor_joining,0.0
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_centroid,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,centroid,single,0.0
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_median,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,median,neighbor_joining,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_linkage_method_median,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,median,single,
cont_lowrank_pggn_shrinkage::normalized_branch_length,family_metric_tree_builder_neighbor_joining,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,neighbor_joining,single,1.0
binary_low_noise_4c::none,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_ward,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,ward,1.0
